City,POP,GDP,PRIM,SEC,TERT,>60yr%,BED,DOC,NRS,Area,POPDENS,GDPpc,Prim%,Sec%,Tert%,ACTV,TVLR,TVLR‰,Cases,MORB%,log(Cases),log(MORB%)
Ningbo,854.2,11985,322,5783,5880,0.213820248,5.033949895,3.512058066,3.629126668,9816,0.08702119,14.03067197,0.026866917,0.482519816,0.490613267,4.968107143,0.325362,0.000380897,157,1.84E-05,5.056245805,-10.90425993
Wenzhou,930,6606.1,151.7,2811.9,3642.5,0.169744906,4.737419355,3.239569892,3.14172043,12110,0.076796036,7.103333333,0.022963625,0.425652049,0.551384327,4.739471429,1.071585,0.001152242,507,5.45E-05,6.228511004,-9.817013955
Shaoxing,505.7,5781,208,2771,2802,0.235723967,5.651769824,3.225627843,3.298200514,8279,0.061082256,11.43167886,0.035979934,0.479328836,0.48469123,4.831178571,0.0652155,0.000128961,42,8.31E-06,3.737669618,-11.69861436
Huzhou,304.348,3122.4,133.8,1595.4,1422.1,0.22770194,5.561068251,3.095798231,3.610669365,5820,0.052293471,10.25930842,0.042851653,0.510953113,0.455450935,4.739471429,0,0,12,3.94E-06,2.48490665,-12.44360551
Jiaxing,480,5370.32,120.89,2892.55,2356.88,0.207143066,5.95375,2.790208333,3.303958333,4223,0.113663273,11.18816667,0.022510763,0.53861781,0.438871427,4.599057143,0.057973,0.000120777,46,9.58E-06,3.828641396,-11.55548508
Jinhua,562.4,4559.91,145.82,1833.03,2581.06,0.197047615,6.105974395,3.360775249,3.49697724,10942,0.051398282,8.10794808,0.031978701,0.401988197,0.566033102,4.1525,0.4217855,0.000749974,55,9.78E-06,4.007333185,-11.53522053
Quzhou,221.8,1573.51,86.51,651.12,835.88,0.266664604,7.032010821,3.360234445,3.457220462,8845,0.025076314,7.094274121,0.054978996,0.413800993,0.531220011,5.945728571,0,0,21,9.47E-06,3.044522438,-11.56759401
Taizhou,615,5134.05,282.08,2339.9,2512.07,0.212506563,5.043414634,3.131382114,3.323902439,10050,0.06119403,8.34804878,0.054942979,0.455761046,0.489295975,4.821085714,0.5253115,0.000854165,146,2.37E-05,4.983606622,-10.64835602
Lishui,220.6,1476.61,100.04,571.34,805.23,0.249430945,6.477787851,3.764732548,3.842701723,17275,0.012769899,6.693608341,0.067749778,0.386926812,0.54532341,4.786928571,0,0,29,1.31E-05,3.36729583,-11.23939565
Zhoushan,117.6,1371.6,146.4,475.5,749.7,0.239437502,5.340986395,2.885204082,3.297619048,1459,0.080603153,11.66326531,0.106736658,0.346675416,0.546587927,5.040671429,0,0,10,8.50E-06,2.302585093,-11.67504431
