,,PM2.5,PM10,SO2,CO,NO2,O3,HUM,PRES,WSPD,TEMP,ACTV,MORB%,Case,log(Case+1),log(MORB%+1)
2020-02-11,绍兴,25.0,31.0,2.7142857142857144,0.5428571428571428,10.857142857142858,81.71428571428571,92.42857142857143,1028.4285714285713,1.742857142857143,7.285714285714286,1.4372857142857143,0.021752026999999997,11.0,2.4849066497880004,0.02151882731151744
2020-02-12,绍兴,25.857142857142858,31.428571428571427,2.7142857142857144,0.5714285714285713,11.571428571428571,71.42857142857143,92.42857142857143,1027.142857142857,1.742857142857143,7.857142857142857,1.4328428571428573,0.021752026999999997,11.0,2.4849066497880004,0.02151882731151744
2020-02-13,绍兴,26.285714285714285,31.571428571428573,2.7142857142857144,0.6142857142857141,12.285714285714286,66.71428571428571,94.85714285714286,1025.4285714285713,1.4142857142857144,8.285714285714286,1.487242857142857,0.015819655999999998,8.0,2.1972245773362196,0.015695829463593863
2020-02-14,绍兴,26.142857142857142,31.285714285714285,2.857142857142857,0.6285714285714283,12.428571428571429,62.285714285714285,94.85714285714286,1023.2857142857143,1.0857142857142856,9.5,1.5638142857142856,0.015819655999999994,8.0,2.1972245773362196,0.015695829463593863
2020-02-15,绍兴,22.571428571428573,27.714285714285715,2.857142857142857,0.6428571428571427,12.285714285714286,56.714285714285715,94.85714285714286,1021.2857142857143,1.0857142857142856,10.714285714285714,1.6230571428571428,0.011864741999999994,6.0,1.9459101490553132,0.011794907782564304
2020-02-16,绍兴,19.428571428571427,24.571428571428573,3.142857142857143,0.6428571428571427,11.857142857142858,56.57142857142857,95.0,1020.5714285714286,1.9999999999999998,11.0,1.698742857142857,0.007909827999999994,4.0,1.6094379124341003,0.007878709298512742
2020-02-17,绍兴,17.714285714285715,23.714285714285715,3.5714285714285716,0.6428571428571427,11.285714285714286,58.0,89.42857142857143,1021.1428571428571,1.9999999999999998,10.428571428571429,1.8437571428571429,0.001977456999999994,1.0,0.6931471805599453,0.0019755044055971126
2020-02-18,绍兴,16.714285714285715,23.285714285714285,4.285714285714286,0.6571428571428571,11.285714285714286,63.714285714285715,85.42857142857143,1022.2857142857143,1.7857142857142854,9.357142857142858,2.0532142857142857,0.001977456999999994,1.0,0.6931471805599453,0.0019755044055971126
2020-02-19,绍兴,16.857142857142858,24.0,4.571428571428571,0.6571428571428571,11.571428571428571,71.71428571428571,81.14285714285714,1023.8571428571429,1.9,8.642857142857142,2.271985714285714,0.001977456999999994,1.0,0.6931471805599453,0.0019755044055971126
2020-02-20,绍兴,18.285714285714285,26.571428571428573,4.857142857142857,0.6428571428571427,12.285714285714286,81.28571428571429,77.42857142857143,1025.142857142857,2.2285714285714286,8.142857142857142,2.5081714285714285,0.001977456999999994,1.0,0.6931471805599453,0.0019755044055971126
2020-02-21,绍兴,19.285714285714285,28.857142857142858,5.142857142857143,0.6285714285714284,13.0,86.85714285714286,77.28571428571429,1027.5714285714287,2.2285714285714286,7.642857142857143,2.7465571428571427,-6.071532165918825e-18,0.0,0.0,0.0
2020-02-22,绍兴,23.714285714285715,37.0,5.428571428571429,0.6142857142857141,14.0,98.28571428571429,75.0,1029.5714285714287,2.3428571428571425,7.5,2.9731857142857137,-6.071532165918825e-18,0.0,0.0,0.0
2020-02-23,绍兴,29.857142857142858,50.857142857142854,5.571428571428571,0.6428571428571427,16.285714285714285,103.42857142857143,71.42857142857143,1030.2857142857142,1.4285714285714282,8.071428571428571,3.1628142857142847,-6.071532165918825e-18,0.0,0.0,0.0
2020-02-24,绍兴,32.857142857142854,57.142857142857146,5.285714285714286,0.6428571428571427,18.142857142857142,106.71428571428571,76.85714285714286,1029.142857142857,1.2142857142857137,9.714285714285714,3.3733142857142844,-6.071532165918825e-18,0.0,0.0,0.0
